date_posted,job_title,url,company,employment_type,location,salary,currency,valid_through,jenis_kelamin
2022-10-02T19:12:46+07:00,Legal Staff,https://www.jobs.id/lowongan/MzE5NzM0/legal-staff-warna-warni-investama-pt?qt_ref=search&qt_page=32&qt_pos=4,Warna Warni Investama PT,FULL_TIME,Surabaya,4000000-4300000,IDR,2022-10-28,Pria/Wanita
2022-10-02T11:13:43+07:00,Sekretaris,https://www.jobs.id/lowongan/MzIwNzM5/sekretaris-citra-intirama-pt?qt_ref=search&qt_page=32&qt_pos=6,Citra Intirama PT,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-04,Pria/Wanita
2022-10-02T09:54:11+07:00,Supervisor Dyeing,https://www.jobs.id/lowongan/MzI2MDI3/supervisor-dyeing-dhanar-mas-concern-pt?qt_ref=search&qt_page=32&qt_pos=7,Dhanar Mas Concern PT,FULL_TIME,Purwakarta,4000000-5000000,IDR,2022-10-27,Pria/Wanita
2022-10-02T18:31:55+07:00,PHP Developer,https://www.jobs.id/lowongan/MzE0NTM3/php-developer-lawencon-international-pt?qt_ref=search&qt_page=32&qt_pos=8,Lawencon International PT,FULL_TIME,Jakarta Pusat,Negotiable,IDR,2022-10-17,Pria/Wanita
2022-10-02T14:40:13+07:00,Staff Internal Audit,https://www.jobs.id/lowongan/MzIxMDgz/staff-internal-audit-akur-pratama-pt?qt_ref=search&qt_page=32&qt_pos=9,Akur Pratama PT,FULL_TIME,Purwakarta,Negotiable,IDR,2022-10-10,Pria/Wanita
2022-10-02T09:54:20+07:00,IT Project Coordinator,https://www.jobs.id/lowongan/MzAyOTgw/it-project-coordinator-electronic-data-interchange-indonesia-pt?qt_ref=search&qt_page=32&qt_pos=10,Electronic Data Interchange Indonesia PT,FULL_TIME,Jakarta Utara,Negotiable,IDR,2022-10-07,Pria/Wanita
2022-10-02T17:49:09+07:00,QC Staff,https://www.jobs.id/lowongan/MzEyNTUz/qc-staff-suka-sari-mitra-mandiri-pt?qt_ref=search&qt_page=32&qt_pos=11,Suka Sari Mitra Mandiri PT,FULL_TIME,Salatiga,Negotiable,IDR,2022-10-09,Pria/Wanita
2022-10-02T17:25:00+07:00,ADMINISTRASI ,https://www.jobs.id/lowongan/MzI2MDE3/administrasi-visco-prima-indonesia-pt?qt_ref=search&qt_page=32&qt_pos=12,Visco Prima Indonesia PT,FULL_TIME,Jakarta Utara,3500000-4000000,IDR,2022-10-27,Pria/Wanita
2022-10-02T09:54:30+07:00,TENTOR MATEMATIKA (UTBK dan TIU),https://www.jobs.id/lowongan/MzE2MTM1/tentor-matematika-utbk-dan-tiu-lkbb-indonesia-college?qt_ref=search&qt_page=32&qt_pos=13,LKBB Indonesia College,FULL_TIME,Surabaya,2750000-5000000,IDR,2022-10-12,Pria/Wanita
2022-10-02T18:29:21+07:00,Guest Relations Officer,https://www.jobs.id/lowongan/MzIwODk5/guest-relations-officer-mayindo-tritunggal-pt?qt_ref=search&qt_page=32&qt_pos=15,Mayindo Tritunggal PT,FULL_TIME,Jakarta Barat,4500000-8000000,IDR,2022-10-10,Pria/Wanita
2022-10-02T13:56:19+07:00,Professional Financial Consultant,https://www.jobs.id/lowongan/MzIwMTgw/professional-financial-consultant-pru-champion?qt_ref=search&qt_page=32&qt_pos=17,Pru Champion,FULL_TIME,Aceh Besar,5000000-10000000,IDR,2022-10-27,Pria/Wanita
2022-10-02T19:14:02+07:00,Lowongan kerja Helper,https://www.jobs.id/lowongan/MzI1MjMz/lowongan-kerja-helper-dipta-dwi-karya-semesta-pt?qt_ref=search&qt_page=32&qt_pos=18,Dipta Dwi Karya Semesta PT,FULL_TIME,Bandung,Negotiable,IDR,2022-10-12,Pria/Wanita
2022-10-02T17:26:35+07:00,Driver Pick Up,https://www.jobs.id/lowongan/MzI1ODg2/driver-pick-up-adhya-group?qt_ref=search&qt_page=32&qt_pos=19,Adhya Group,FULL_TIME,Binjai,Negotiable,IDR,2022-10-20,Pria/Wanita
2022-10-02T19:27:42+07:00,Staff Gudang,https://www.jobs.id/lowongan/MzI1MjM0/staff-gudang-kreasi-teknik-mandiri-pt?qt_ref=search&qt_page=32&qt_pos=20,Kreasi Teknik Mandiri. PT,FULL_TIME,Bandar Lampung,5600000-6500000,IDR,2022-10-12,Pria/Wanita
2022-10-02T09:54:55+07:00,Translator Mandarin,https://www.jobs.id/lowongan/MjcyNTk1/translator-mandarin-pulau-sambu-pt?qt_ref=search&qt_page=32&qt_pos=21,Pulau Sambu PT,FULL_TIME,Indragiri Hilir,Negotiable,IDR,2022-10-11,Pria/Wanita
2022-10-02T17:58:19+07:00,Accounting dan Finance Staff,https://www.jobs.id/lowongan/MjY5ODg0/accounting-dan-finance-staff-istana-mobil-surabaya-indah-pt?qt_ref=search&qt_page=32&qt_pos=22,Istana Mobil Surabaya Indah PT,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-26,Pria/Wanita
2022-10-02T17:17:53+07:00,Salesman,https://www.jobs.id/lowongan/MTYyODcy/salesman-hokinda-citralestari-pt?qt_ref=search&qt_page=32&qt_pos=23,Hokinda Citralestari PT,FULL_TIME,Palembang,Negotiable,IDR,2022-10-17,Pria/Wanita
2022-10-02T09:55:04+07:00,Research And Development,https://www.jobs.id/lowongan/MzIxOTE4/research-and-development-sinar-continental-pt?qt_ref=search&qt_page=32&qt_pos=24,Sinar Continental PT,FULL_TIME,Cimahi,Negotiable,IDR,2022-10-15,Pria/Wanita
2022-10-02T09:55:07+07:00,Dokter Spesialis Mata,https://www.jobs.id/lowongan/MjY1Mjcz/dokter-spesialis-mata-yayasan-kesehatan-sumber-waras?qt_ref=search&qt_page=33&qt_pos=0,Yayasan Kesehatan Sumber Waras,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-15,Pria/Wanita
2022-10-02T13:32:05+07:00,IT Quality Assurance,https://www.jobs.id/lowongan/MzI1ODE5/it-quality-assurance-mcash-integrasi-tbk-pt?qt_ref=search&qt_page=33&qt_pos=1,Mcash Integrasi Tbk PT,FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-16,Pria/Wanita
2022-10-02T10:02:39+07:00,Salesman Gresik,https://www.jobs.id/lowongan/MzIwNjIx/salesman-gresik?qt_ref=search&qt_page=33&qt_pos=2,Company Confidential,FULL_TIME,Gresik,Negotiable,IDR,2022-10-25,Pria/Wanita
2022-10-02T19:04:10+07:00,Guru Matematika SMP Khairunnas Madura,https://www.jobs.id/lowongan/MzIzOTQx/guru-matematika-smp-khairunnas-madura-yayasan-nurul-hayat?qt_ref=search&qt_page=33&qt_pos=3,Yayasan Nurul Hayat,FULL_TIME,Sampang,2300000-2600000,IDR,2022-10-24,Pria/Wanita
2022-10-02T19:08:12+07:00,Manager Marketing,https://www.jobs.id/lowongan/MzIzODg3/manager-marketing-lviors-jaya-sentosa-pt?qt_ref=search&qt_page=33&qt_pos=4,L&#039;viors Jaya Sentosa PT,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-24,Pria/Wanita
